Furnishing,facing,Bathroom,Balcony,Amount_numeric,BHK,Carpet_Area_sqft,Current_Floor,Total_Floors
Unfurnished,East,2.0,2.0,5000000.0,1.0,,5.0,7.0
Unfurnished,East,2.0,2.0,16000000.0,3.0,920.0,8.0,27.0
Unfurnished,North - East,1.0,2.0,,1.0,550.0,5.0,7.0
Unfurnished,East,1.0,3.0,2200000.0,1.0,400.0,4.0,4.0
Semi-Furnished,North - East,2.0,1.0,7900000.0,1.0,460.0,2.0,7.0
Unfurnished,East,2.0,2.0,3000000.0,2.0,,7.0,7.0
Unfurnished,East,1.0,1.0,4800000.0,1.0,404.0,8.0,19.0
Unfurnished,East,2.0,2.0,7520000.0,2.0,624.0,3.0,7.0
Unfurnished,East,2.0,1.0,13200000.0,2.0,,2.0,8.0
Unfurnished,East,1.0,1.0,2800000.0,1.0,510.0,2.0,2.0
Unfurnished,East,2.0,2.0,7700000.0,1.0,450.0,15.0,30.0
Semi-Furnished,East,1.0,1.0,10000000.0,1.0,,4.0,4.0
Furnished,East,2.0,2.0,5000000.0,1.0,,3.0,4.0
Semi-Furnished,East,1.0,2.0,2500000.0,1.0,550.0,3.0,7.0
Semi-Furnished,North,2.0,2.0,5300000.0,1.0,420.0,21.0,26.0
Semi-Furnished,East,2.0,2.0,16500000.0,3.0,744.0,5.0,12.0
Unfurnished,East,2.0,2.0,6000000.0,2.0,,3.0,18.0
Semi-Furnished,East,2.0,1.0,11900000.0,2.0,740.0,5.0,14.0
Furnished,East,2.0,3.0,9000000.0,3.0,,1.0,29.0
Semi-Furnished,East,2.0,1.0,6800000.0,1.0,479.0,0.0,7.0
Unfurnished,East,1.0,1.0,5000000.0,1.0,445.0,5.0,16.0
Semi-Furnished,North,2.0,1.0,9000000.0,2.0,686.0,3.0,28.0
Semi-Furnished,East,4.0,4.0,40000000.0,5.0,1600.0,4.0,20.0
Furnished,East,1.0,1.0,4800000.0,1.0,625.0,1.0,4.0
Semi-Furnished,West,3.0,2.0,7500000.0,3.0,,6.0,7.0
Furnished,East,1.0,2.0,5100000.0,1.0,,1.0,5.0
Unfurnished,East,2.0,2.0,6859999.999999999,2.0,739.0,3.0,6.0
Semi-Furnished,East,2.0,2.0,9900000.0,2.0,,29.0,29.0
Semi-Furnished,North - East,1.0,3.0,4430000.0,1.0,410.0,1.0,4.0
Unfurnished,East,2.0,4.0,5500000.0,2.0,775.0,10.0,12.0
Unfurnished,East,1.0,1.0,3300000.0,1.0,400.0,3.0,7.0
Unfurnished,East,2.0,1.0,16500000.0,2.0,759.0,10.0,30.0
Semi-Furnished,East,2.0,2.0,9500000.0,2.0,530.0,13.0,26.0
Unfurnished,East,3.0,2.0,21000000.0,3.0,1041.0,5.0,7.0
Unfurnished,North - East,2.0,1.0,9700000.0,2.0,735.0,5.0,28.0
Unfurnished,North - East,1.0,2.0,2700000.0,1.0,370.0,2.0,4.0
Semi-Furnished,East,2.0,2.0,5000000.0,2.0,,2.0,5.0
Unfurnished,East,2.0,4.0,5000000.0,2.0,,12.0,12.0
Unfurnished,East,2.0,3.0,4500000.0,2.0,770.0,1.0,6.0
Semi-Furnished,East,1.0,2.0,5400000.0,1.0,430.0,2.0,7.0
Semi-Furnished,East,1.0,2.0,5000000.0,1.0,410.0,3.0,7.0
Semi-Furnished,East,2.0,2.0,4100000.0,2.0,,0.0,4.0
Unfurnished,East,2.0,3.0,4290000.0,2.0,688.0,3.0,20.0
Unfurnished,East,2.0,2.0,7500000.0,3.0,640.0,7.0,15.0
Unfurnished,South,2.0,1.0,10000000.0,2.0,680.0,6.0,13.0
Unfurnished,North - East,3.0,1.0,23600000.0,3.0,1073.0,2.0,29.0
Unfurnished,East,1.0,2.0,2900000.0,1.0,,5.0,7.0
Unfurnished,East,1.0,2.0,2500000.0,1.0,,4.0,7.0
Semi-Furnished,East,1.0,2.0,2750000.0,1.0,,1.0,7.0
Semi-Furnished,East,1.0,2.0,,2.0,,1.0,5.0
Furnished,East,1.0,2.0,7500000.0,1.0,,2.0,7.0
Unfurnished,East,3.0,1.0,34500000.0,3.0,1356.0,20.0,35.0
Unfurnished,East,1.0,2.0,4800000.0,1.0,400.0,3.0,7.0
Unfurnished,East,2.0,1.0,5600000.0,1.0,483.0,13.0,31.0
Unfurnished,East,2.0,1.0,4550000.0,1.0,453.0,3.0,23.0
Unfurnished,East,2.0,2.0,5500000.0,3.0,750.0,3.0,4.0
Semi-Furnished,East,2.0,3.0,16000000.0,2.0,800.0,19.0,19.0
Semi-Furnished,East,2.0,2.0,17000000.0,2.0,760.0,11.0,18.0
Furnished,North,2.0,1.0,6000000.0,1.0,500.0,4.0,4.0
Unfurnished,East,4.0,1.0,49000000.0,4.0,1704.0,18.0,30.0
Unfurnished,East,2.0,2.0,5800000.0,2.0,587.0,10.0,20.0
Unfurnished,East,2.0,2.0,2600000.0,2.0,,0.0,4.0
Semi-Furnished,North,2.0,2.0,10000000.0,2.0,699.0,2.0,19.0
Unfurnished,East,2.0,1.0,2100000.0,1.0,,2.0,5.0
Unfurnished,West,3.0,3.0,27500000.0,3.0,1350.0,16.0,23.0
Unfurnished,North - East,2.0,1.0,16500000.0,2.0,763.0,3.0,30.0
Unfurnished,East,3.0,2.0,25000000.0,3.0,1140.0,8.0,8.0
Furnished,East,1.0,2.0,2600000.0,1.0,,6.0,7.0
Unfurnished,East,1.0,2.0,6500000.0,2.0,,10.0,30.0
Semi-Furnished,North - East,3.0,2.0,17500000.0,3.0,889.0,17.0,27.0
Semi-Furnished,South,1.0,2.0,6000000.0,2.0,,5.0,6.0
Unfurnished,East,1.0,2.0,2900000.0,1.0,490.0,1.0,4.0
Unfurnished,East,1.0,2.0,5300000.0,1.0,415.0,4.0,7.0
Semi-Furnished,North - East,3.0,1.0,30000000.0,3.0,1140.0,11.0,26.0
Unfurnished,East,2.0,1.0,13200000.0,2.0,735.0,12.0,30.0
Unfurnished,East,1.0,1.0,10500000.0,1.0,490.0,5.0,7.0
Unfurnished,East,1.0,2.0,7900000.0,1.0,452.0,4.0,6.0
Unfurnished,North - East,1.0,2.0,6000000.0,1.0,450.0,7.0,7.0
Semi-Furnished,East,1.0,1.0,1800000.0,1.0,,1.0,1.0
Semi-Furnished,East,3.0,1.0,13000000.0,3.0,894.0,10.0,14.0
Unfurnished,East,2.0,1.0,10600000.0,2.0,640.0,14.0,32.0
Furnished,East,2.0,2.0,10000000.0,2.0,,1.0,4.0
Unfurnished,East,2.0,1.0,10700000.0,2.0,640.0,15.0,32.0
Unfurnished,East,2.0,2.0,17100000.0,2.0,758.0,6.0,29.0
Semi-Furnished,East,3.0,1.0,16000000.0,3.0,894.0,1.0,20.0
Semi-Furnished,North - East,1.0,2.0,1900000.0,1.0,,2.0,7.0
Unfurnished,East,3.0,3.0,22900000.0,3.0,1153.0,28.0,32.0
Furnished,East,3.0,2.0,5600000.0,2.0,,1.0,8.0
Semi-Furnished,East,2.0,2.0,7000000.0,2.0,,6.0,8.0
Unfurnished,East,1.0,3.0,4150000.0,2.0,671.0,3.0,20.0
Furnished,East,3.0,2.0,12500000.0,4.0,1170.0,12.0,12.0
